statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
14050,국립암센터,2021,55,F,N,1,1,1,1
14050,국립암센터,2021,48,M,N,2,2,1,1
14050,국립암센터,2021,51,M,N,1,1,1,1
14050,국립암센터,2021,75,M,N,2,4,1,3
14050,국립암센터,2021,77,M,Y,1,1,1,1
14050,국립암센터,2021,68,F,N,5,5,5,5
14050,국립암센터,2021,83,M,N,1,1,1,1
14050,국립암센터,2021,67,M,N,4,6,3,4
14050,국립암센터,2021,58,F,N,1,1,1,1
14050,국립암센터,2021,64,M,N,2,2,2,2
14050,국립암센터,2021,69,M,N,1,1,1,1
14050,국립암센터,2021,48,F,N,1,1,1,1
14050,국립암센터,2021,52,M,N,1,1,1,1
14050,국립암센터,2021,75,M,Y,2,4,2,3
14050,국립암센터,2021,86,F,N,1,1,1,1
14050,국립암센터,2021,67,M,Y,2,6,1,4
14050,국립암센터,2021,74,M,N,2,2,2,2
14050,국립암센터,2021,47,F,N,2,2,2,2
14050,국립암센터,2021,58,M,N,1,1,1,1
14050,국립암센터,2021,70,F,N,2,2,2,2
14050,국립암센터,2021,74,F,N,4,4,3,3
14050,국립암센터,2021,61,M,N,5,5,5,5
14050,국립암센터,2021,37,F,N,1,1,1,1
14050,국립암센터,2021,90,F,N,1,1,1,1
14050,국립암센터,2021,40,M,N,2,2,1,1
14050,국립암센터,2021,61,F,N,1,1,1,1
14050,국립암센터,2021,81,F,N,1,1,1,1
14050,국립암센터,2021,82,M,N,7,7,5,5
14050,국립암센터,2021,73,F,N,3,3,2,2
14050,국립암센터,2021,44,M,N,1,1,1,1
14050,국립암센터,2021,62,F,N,4,4,3,3
14050,국립암센터,2021,66,M,Y,2,2,1,1
14050,국립암센터,2021,73,M,N,8,10,6,7
14050,국립암센터,2021,72,F,N,4,4,3,3
14050,국립암센터,2021,59,F,N,4,4,4,4
14050,국립암센터,2021,50,F,N,2,2,1,1
14050,국립암센터,2021,42,F,N,1,1,1,1
14050,국립암센터,2021,55,M,N,2,2,1,1
14050,국립암센터,2021,70,M,N,1,2,1,2
14050,국립암센터,2021,72,M,N,6,6,4,4
14050,국립암센터,2021,42,M,N,2,2,1,1
14050,국립암센터,2021,78,M,N,2,2,2,2
14050,국립암센터,2021,63,F,N,1,1,1,1
14050,국립암센터,2021,78,F,N,2,2,2,2
14050,국립암센터,2021,63,M,N,2,2,2,2
14050,국립암센터,2021,68,M,N,5,5,3,3
14050,국립암센터,2021,54,M,N,3,3,2,2
14050,국립암센터,2021,71,M,Y,2,8,2,6
14050,국립암센터,2021,75,F,N,1,1,1,1
14050,국립암센터,2021,86,M,N,1,1,1,1
14050,국립암센터,2021,70,M,Y,1,2,1,2
14050,국립암센터,2021,67,F,N,2,2,2,2
14050,국립암센터,2021,59,M,N,2,2,2,2
14050,국립암센터,2021,57,M,N,2,2,2,2
14050,국립암센터,2021,79,F,N,1,1,1,1
14050,국립암센터,2021,65,M,N,1,1,1,1
14050,국립암센터,2021,80,M,N,1,1,1,1
14050,국립암센터,2021,71,F,N,1,1,1,1
14050,국립암센터,2021,60,M,N,1,1,1,1
14050,국립암센터,2021,56,M,N,2,2,2,2
14050,국립암센터,2021,71,M,N,6,8,4,6
14050,국립암센터,2021,79,M,N,5,5,4,4
14050,국립암센터,2021,64,F,N,4,4,3,3
14050,국립암센터,2021,73,M,Y,2,10,2,7
14050,국립암센터,2021,60,F,N,3,3,2,2
14050,국립암센터,2021,81,M,N,3,3,2,2
14050,국립암센터,2021,56,F,N,1,1,1,1
