statsMetaNo,centerNm,critYr,ptAge,ptSexCd,statsTrgtNm,ncsNmvl,wholNcsDnmvl,ptCntNmvl,wholPtCntDnmvl
20040,국립암센터,2021,64,M,Y,3,3,3,3
20040,국립암센터,2021,62,F,Y,1,1,1,1
20040,국립암센터,2021,55,M,Y,1,1,1,1
20040,국립암센터,2021,77,F,N,3,3,3,3
20040,국립암센터,2021,69,M,N,1,2,1,2
20040,국립암센터,2021,75,F,Y,1,2,1,2
20040,국립암센터,2021,86,M,Y,2,2,2,2
20040,국립암센터,2021,81,M,Y,1,1,1,1
20040,국립암센터,2021,70,F,N,1,1,1,1
20040,국립암센터,2021,62,M,N,1,1,1,1
20040,국립암센터,2021,52,M,Y,1,1,1,1
20040,국립암센터,2021,70,M,N,1,2,1,2
20040,국립암센터,2021,78,F,N,3,3,3,3
20040,국립암센터,2021,74,F,Y,1,3,1,3
20040,국립암센터,2021,82,M,N,2,4,2,4
20040,국립암센터,2021,57,M,Y,1,1,1,1
20040,국립암센터,2021,72,F,N,1,1,1,1
20040,국립암센터,2021,64,F,N,1,1,1,1
20040,국립암센터,2021,74,M,N,1,1,1,1
20040,국립암센터,2021,81,F,N,2,2,2,2
20040,국립암센터,2021,58,F,N,1,1,1,1
20040,국립암센터,2021,85,M,Y,1,1,1,1
20040,국립암센터,2021,67,M,Y,1,2,1,2
20040,국립암센터,2021,87,M,Y,1,1,1,1
20040,국립암센터,2021,60,M,Y,2,2,2,2
20040,국립암센터,2021,71,M,Y,1,1,1,1
20040,국립암센터,2021,70,M,Y,1,2,1,2
20040,국립암센터,2021,75,F,N,1,2,1,2
20040,국립암센터,2021,66,M,Y,1,1,1,1
20040,국립암센터,2021,69,F,N,2,2,2,2
20040,국립암센터,2021,58,M,N,1,1,1,1
20040,국립암센터,2021,79,F,N,3,3,3,3
20040,국립암센터,2021,74,F,N,2,3,2,3
20040,국립암센터,2021,75,M,N,1,1,1,1
20040,국립암센터,2021,51,F,N,1,1,1,1
20040,국립암센터,2021,66,F,Y,1,1,1,1
20040,국립암센터,2021,71,F,N,2,2,2,2
20040,국립암센터,2021,54,M,N,1,1,1,1
20040,국립암센터,2021,82,F,N,2,2,1,1
20040,국립암센터,2021,17,F,N,1,1,1,1
20040,국립암센터,2021,67,F,N,1,1,1,1
20040,국립암센터,2021,76,F,Y,1,2,1,2
20040,국립암센터,2021,57,F,N,2,2,2,2
20040,국립암센터,2021,65,F,N,2,2,2,2
20040,국립암센터,2021,73,M,Y,1,1,1,1
20040,국립암센터,2021,76,F,N,1,2,1,2
20040,국립암센터,2021,79,M,N,1,1,1,1
20040,국립암센터,2021,69,M,Y,1,2,1,2
20040,국립암센터,2021,80,M,Y,1,1,1,1
20040,국립암센터,2021,67,M,N,1,2,1,2
20040,국립암센터,2021,63,M,Y,1,1,1,1
20040,국립암센터,2021,61,M,Y,3,3,3,3
20040,국립암센터,2021,73,F,N,1,1,1,1
20040,국립암센터,2021,43,F,N,1,1,1,1
20040,국립암센터,2021,82,M,Y,2,4,2,4
20040,국립암센터,2021,50,M,N,1,1,1,1
20040,국립암센터,2021,78,M,N,1,1,1,1
20040,국립암센터,2021,80,F,N,1,1,1,1
20040,국립암센터,2021,84,F,N,1,1,1,1
20040,국립암센터,2021,77,M,Y,1,1,1,1
20040,국립암센터,2021,65,M,Y,2,2,2,2
20040,국립암센터,2021,68,F,N,3,3,3,3
20040,국립암센터,2021,53,F,Y,1,1,1,1
